,Depos,BID,ASK
sn,20-Feb-08,3.99,4.03
1w,26-Feb-08,4.09,4.05
1m,19-Mar-08,4.13,4.18
2m,21-Apr-08,4.21,4.27
3m,19-May-08,4.3,4.36
6m,19-Aug-08,4.29,4.35
9m,19-Nov-08,4.29,4.35
1y,19-Feb-09,4.29,4.35
