Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,37.349998,37.889999,34.630001,37.840000,31.863420,930226200
2014-02-01,37.740002,38.459999,35.689999,38.310001,32.259186,705304500
2014-03-01,37.919998,41.500000,37.490002,40.990002,34.774715,778425700
2014-04-01,41.150002,41.660000,38.900002,40.400002,34.274174,746112500
2014-05-01,40.240002,40.970001,38.509998,40.939999,34.732296,574362900
2014-06-01,40.950001,42.290001,39.860001,41.700001,35.626621,555767300
2014-07-01,41.860001,45.709999,41.049999,43.160000,36.873985,731616500
2014-08-01,43.209999,45.470001,42.209999,45.430000,38.813385,513919700
2014-09-01,45.430000,47.570000,44.529999,46.360001,39.855312,860827300
2014-10-01,46.270000,46.970001,42.099998,46.950001,40.362530,853260900
2014-11-01,46.889999,50.049999,46.730000,47.810001,41.101871,523005900
2014-12-01,47.880001,49.060001,44.900002,46.450001,40.184551,626771200
2015-01-01,46.660000,47.910000,40.349998,40.400002,34.950619,918966800
2015-02-01,40.590000,44.299999,40.230000,43.849998,37.935253,656509700
2015-03-01,43.669998,44.189999,40.540001,40.660000,35.425873,824335300
2015-04-01,40.599998,49.540001,40.119999,48.639999,42.378605,874535300
2015-05-01,48.580002,48.910000,46.020000,46.860001,40.827744,633072800
2015-06-01,47.060001,47.770000,43.939999,44.150002,38.716595,664853400
2015-07-01,44.459999,47.400002,43.320000,46.700001,40.952785,725458100
2015-08-01,46.980000,48.410000,39.720001,43.520000,38.164131,776480300
2015-09-01,42.169998,45.000000,41.660000,44.259998,39.069012,673079900
2015-10-01,44.750000,54.369999,43.750000,52.639999,46.466160,856716800
2015-11-01,52.849998,54.980000,52.529999,54.349998,47.975613,662626600
2015-12-01,54.410000,56.849998,53.680000,55.480000,49.303177,792820900
2016-01-01,54.320000,55.389999,49.099998,55.090000,48.956600,927914700
2016-02-01,54.880001,55.090000,48.189999,50.880001,45.215317,814770900
2016-03-01,50.970001,55.639999,50.580002,55.230000,49.433407,641110900
2016-04-01,55.049999,56.770000,49.349998,49.869999,44.635963,699025700
